Company name;Postcode;Primary UK SIC (2007) code;Website;Secondary UK SIC (2007) codes
MOMA LIMITED;EH4 3BE;73110;www.jamesbondwatch.co.uk;73110
VISIT WEST LOTHIAN;EH54 6FF;73120;www.visitwestlothian.co.uk;73120
DUMAS INVESTMENTS LIMITED;EH6 6QW;73110;;73110
MARKETING MATTERS (SCOTLAND) LIMITED;EH54 6PR;73120;www.marketing-matters.org.uk;73120
NEWTOWN VIEW PUBLICATIONS LTD;EH3 5PU;73110;;73110
E-BUSINESS PROMOTION LIMITED;EH2 3ES;73110;www.e-businesspromotion.co.uk;73110
HAMLIN DANIELS (EDINBURGH) LIMITED;EH11 1GT;73110;www.hamlindaniels.co.uk;"70229
73110"
CONVERSION RATE EXPERTS LIMITED;EH3 7PE;73110;www.ukcmg.org.uk;73110
FLOCK DESIGN & ADVERTISING LTD;EH2 2DR;73110;www.flockthinks.com;73110
HOMES4SALE BY OWNERS LIMITED;EH34 5DJ;73120;;73120
MACKEREL MEDIA LIMITED;EH2 2PJ;73110;www.mackerelmedia.co.uk;73110
WATCHWORDS COPYWRITING LTD;EH4 7QT;73120;;73120
VENTURAS EUROPE LTD;EH3 6AT;73110;;73110
RICHARD MOUNTNEY PHOTOGRAPHY LTD;EH6 6QZ;73110;www.richardmountney.com;73110
180VITA LTD.;EH3 7BD;62011;;"62011
73110"
DAVID LEE MEDIA AND EVENTS LTD.;EH21 6DZ;58190;;"58190
73120"
NEXUS24 LTD;EH6 5JW;73110;www.nexus24.co.uk;73110
WRITE WAY UP LTD;EH1 2HP;73120;;73120
IAMCATZ LTD;EH22 3FB;73110;www.smartlocalmarketing.co.uk;73110
INVESTOR CONFERENCES (UK) LIMITED;EH12 6PG;73110;www.londoninvestorshow.co.uk;73110
TRUE COLOURS DESIGN LIMITED;EH21 7AG;73120;www.truecoloursdesign.co.uk;73120
SERPS INVADERS LTD;EH10 5LZ;73110;www.serps-invaders.com;73110
ROSS BRUNTON LIMITED;EH7 6UD;73110;;73110
NOVEMEDIA LTD;EH33 2QR;59200;www.novemedia.co.uk;"59200
62012
63120
73110"
CREATIVE CARTSHED LTD;EH36 5PA;73110;;73110
THE ECLECTIC CITY LIMITED;EH12 6PA;73110;;73110
ST GABE LIMITED;EH33 2QJ;73110;www.stgabe.co.uk;73110
60 WATT (EDINBURGH) LTD.;EH10 4ET;73110;www.60wattresearch.co.uk;73110
GEMMA WILSON PR LTD;EH23 4FQ;73120;www.gemmawilsonpr.co.uk;73120
PICKLEMEDIA CONSULTANCY LTD;EH29 9GH;73110;www.picklemedia.com;"70229
73110"
SOWILO PARTNERS LIMITED;EH22 2AH;70221;;"70221
70229
73110
74100"
NATALIE NEILSON LTD;EH15 2BZ;73110;;73110
MUCKLE MEDIA LTD;EH2 4SD;73120;www.mucklemedia.co.uk;73120
DIGITAL NAVIGATOR LTD;EH29 9LD;73120;www.digitalnavigator.co.uk;73120
JIGSAW PR LTD.;EH3 6AT;73120;;73120
HILLSIDE AGENCY LIMITED;EH6 6RH;73110;www.hillsideagency.com;73110
MEDIA SPARK LTD;EH12 6AH;73120;www.kdmedia.co.uk;73120
SQUARECAT.DIGITAL LIMITED;EH7 5JW;73110;;"73110
74909"
CLEAN DIGITAL LIMITED;EH6 7BD;73110;www.cleandigital.co.uk;73110
VELOCITY DIGITAL LTD;EH30 9AF;73110;www.velocitydigital.co.uk;73110
8 MILLION STORIES LIMITED;EH2 1JE;70210;https://8ms.com;"70210
73120"
NICK STEWART MEDIA CONSULTANCY LIMITED;EH3 8EY;73110;;73110
EVVIVA BRANDS LTD;EH2 2ER;73110;;73110
SOLJA LIMITED;EH7 5HZ;73110;;73110
URBAN DESIGN & DISPLAY LTD;EH4 2HQ;73120;;73120
B MARKETING LIMITED;EH33 2NQ;73110;;73110
CLARITY MARKETING (UK) LIMITED;EH10 5NW;73110;www.clarity3.co.uk;73110
S & J MARKETING LIMITED;EH47 7EA;73120;;73120
EH4 DIRECTORY LIMITED;EH4 3NG;73110;;73110
SCENE AND HERD LIMITED;EH32 0PL;73110;www.sceneandherdpr.co.uk;73110
TORCHBEARER LTD;EH14 1DJ;63110;;"63110
73110
74909"
LEWIS CREATIVE CONSULTANTS LIMITED;EH6 6QA;73110;www.lewis.co.uk;73110
CANVAS CREATES LTD;EH6 5AN;73120;;73120
ITY MARKETING LIMITED;EH4 1DN;73120;www.itymarketing.com;73120
UP NB LIMITED;EH39 5PE;73110;;"73110
77120"
LUX ILLUMINATING BRANDS LTD;EH6 5NP;73110;www.getlux.co.uk;73110
CABWORKS LTD;EH12 8QN;73110;;73110
GUY & CO LTD;EH12 5AY;73110;;73110
027LAB LTD;EH3 9LB;73110;;73110
CREATED BY CAMPFIRE LTD;EH6 6RS;59112;www.theclub.agency;"59112
73110"
BROWNLEE DONALD ASSOCIATES LTD;EH5 3BD;58190;;"58190
73120"
DESIGN BY ASSOCIATION LTD;EH22 3AD;73110;;73110
GARETH T HOWELLS LIMITED;EH7 4HG;73110;;73110
ELM EDINBURGH LIMITED;EH41 3PJ;73120;;73120
THINK HARD (SCOTLAND) LTD;EH30 9LE;73110;;73110
EIGHTY DAYS LIMITED;EH2 4AW;73110;www.eighty-days.com;73110
GARLANDPR LTD.;EH7 4HX;73120;;73120
COLLABORATE CREATIVE LIMITED;EH41 3JE;73110;;73110
SCOT STREET STYLE LTD;EH22 1JW;58110;;"58110
73120"
WE ARE SEVENTHREE LTD;EH14 7HS;73110;;73110
AMANDA MCDONALD LIMITED;EH8 7RR;73120;;73120
LENNON & PARTNERS LIMITED;EH5 3DL;73120;;73120
LIVE GFX LTD;EH21 7AD;59112;;"59112
73120"
MR CULTURE & SPORT LIMITED;EH7 4JX;73120;;73120
BRYDON HOLDINGS LIMITED;EH2 1DF;73110;www.clarkcommunications.co.uk;73110
TOM GILL LIMITED;EH10 5PL;73120;;73120
CRT PRINT LTD;EH39 4ER;73120;;"73120
82110"
LOCAL AUTHORISED ADVERTISING PROJECTS LTD;EH6 7JQ;73110;;73110
OOZLER LTD;EH39 4NU;73110;;73110
WOODIFIELD MEDIA LTD;EH46 7AB;73120;;73120
THE LIMELIGHT (SCOTLAND) LTD;EH7 5LB;73120;;73120
FAIRGROUND COMMUNICATIONS LTD;EH39 4BP;73120;;73120
CCHMG LTD;EH28 8PW;73110;;73110
SOCIAL ANT LTD;EH1 2DP;73120;www.socialant.co.uk;73120
PASS WORD GLOBAL LIMITED;EH3 6RE;73120;;73120
ROMMATIC LIMITED;EH3 9QQ;73110;;73110
GERRY FARRELL INK LTD;EH6 6ET;73110;;73110
INFINITE CONTENT LTD;EH1 3RL;73110;www.infinitecontent.co.uk;73110
MASCOT GROUP LIMITED;EH6 6QH;73110;;73110
ESTIMAZ LTD;EH6 7BD;73110;;73110
HELLEAU LIMITED;EH1 1PB;73110;www.andrewburnett.com;73110
CREATE FUTURE STUDIOS LTD;EH6 4DD;73110;;73110
THSA INDUSTRIES LIMITED;EH7 5JS;73110;;73110
VISIBILITYCORPS LTD;EH7 5LA;73120;;73120
PUNK CREATIVE LTD;EH6 6JA;73110;www.wearepunk.co.uk;73110
