Company name;Postcode;Primary UK SIC (2007) code;All UK SIC (2007) codes;Website
HERITAGE 8 LTD;EH14 1TJ;71111;"71111
85520";
POLISH-SCOTTISH CULTURAL PROJECT CIC;EH22 2JH;82301;"82301
85520
90030
93199";
HSG CULTURE GROUP LTD;EH3 9JY;70210;"70210
74300
79110
85520";
TRAVELLING BASKET COMPANY LTD;EH10 7GZ;47190;"47190
47910
56102
85520";
SCOTPAL LTD;EH19 2BH;85520;85520;
ZEBRAS CROSSING LIMITED;EH1 3PG;85520;85520;
EDINBURGH LANGUAGE ACADEMY LIMITED;EH6 7AF;79110;"79110
85520
85600";
RAINBOWTREE MUSIC LTD;EH48 2UB;85520;85520;
FREDERIC CHOPIN POLISH CENTRE & EDUCATION IN EDINBURGH LTD;EH14 3HR;85520;85520;
SMWA LTD.;EH6 7BD;85520;85520;
BROWNLEE SCHOOLS LIMITED;EH54 8EG;85510;"85510
85520
85600";
THE ROMANIAN MULTICULTURAL CENTRE IN SCOTLAND LTD;EH17 7RQ;85520;"85520
96090";
A D PURE NEED EDUCATION LTD;EH6 7BD;79110;"79110
82301
85520
85600";
BRIGHTER FUTURES SCOTLAND LIMITED;EH9 1PN;85520;"85520
85590";
PORTOBELLO MUSIC SCHOOL CIC;EH4 1NH;85200;"85200
85520
90010";www.portobellomusicschool.com
CINETOPIA LIMITED;EH7 5EX;59112;"59112
79120
85320
85520";
LEAP 4 LIFE LOTHIAN CIC;EH33 2EY;85520;"85520
88100
88990
93290";
DUNBAR MUSIC SCHOOL EDUCATION CIC;EH42 1ZG;85520;85520;
HEALTH DAO LTD;EH35 5LS;85520;85520;
LIFE DAO LTD;EH35 5LS;85520;85520;
JAMAICAN OY'NISSH LTD;EH16 4GF;10890;"10890
56290
85520";
LAMENTALLY SOUND CIC;EH2 3JG;18201;"18201
85520
90010
93290";
OLIVE TREE MADRASAH C.I.C.;EH7 4GH;85520;85520;
THEWINDYDANDELION CIC;EH8 7LU;85520;"85520
85590
85600";
HEARTPOLITICS LTD;EH15 2BL;85520;85520;
HOUSE OF JACK C.I.C.;EH8 8BA;85520;"85520
90010
90020
90030";
SNAP ELASTIC LTD;EH10 4BZ;85520;"85520
90010
90020";
TRANS WORLD FAR EAST LTD;EH6 6PG;85520;85520;
CRASH COURSE IN ART HISTORY LIMITED;EH10 4JT;85520;85520;
EDINBURGH ART STUDIO LIMITED;EH9 3JE;85520;"85520
90020";
SELECT EDUCATION LTD;EH5 3QA;85520;"85520
85600";
NATURESPOKE COMMUNITY INTEREST COMPANY;EH10 5JD;85520;85520;
GLASS LAB EDINBURGH LTD;EH6 4ER;23120;"23120
47520
85520
90040";
THE POLISH PETE LTD;EH16 4TP;41202;"41202
43390
85520
85590";
EXPLORE BEING HUMAN CIC;EH10 5HJ;85520;85520;
TOMLIN HARMONICA SCHOOL LTD;EH6 4NA;85520;85520;
AFRICAN MAUA CIC;EH3 6RE;85520;"85520
90010
90030";
LINGOBOX LEARNING LTD;EH16 5DH;85100;"85100
85200
85520
85600";
STARTER CULTURE LTD;EH15 2BL;85520;85520;
