Company name;Postcode;Primary UK SIC (2007) code;All UK SIC (2007) codes;Website
J. HEWIT & SONS LIMITED;EH54 5DL;15110;15110;www.hewit.com
RICHARD WYLIE LIMITED;EH7 6UL;13921;13921;www.upholsterysupplier.co.uk
GLENEVAN MILL LIMITED;EH44 6PD;14390;"14390
46170";
TAYBURN LIMITED;EH9 1PJ;74100;74100;www.tayburn.co.uk
CLUSTAN LIMITED;EH12 6HZ;14131;"14131
58110
62012
72190";www.clustan.com
P R M MARKETING LIMITED;EH3 8BU;74100;74100;
SHAW MARKETING AND DESIGN LIMITED;EH3 9QA;70210;"70210
70229
74100";www.shaw-online.com
U.P. ENTERPRISES LIMITED;EH2 4JN;14310;14310;www.up-enterprises.co.uk
MELVILLE & YOUNG LIMITED;EH7 4JJ;74100;74100;www.melvilleandyoung.co.uk
KERNEL CREATIVES LIMITED;EH6 6HD;74100;"74100
74202";www.almondtds.com
IMAGE SCOTLAND LIMITED;EH21 6SY;46420;"13300
46420";www.imagescotland.com
VICTORIA REGALIA LIMITED;EH1 2JL;14190;14190;www.victoriaregalia.com
GOODSON ASSOCIATES LIMITED;EH3 7HL;74100;74100;www.goodsons.com
INCORPORATED BLIND SYSTEMS LIMITED;EH45 8AT;13921;13921;www.electricblind.com
ALPHA DATA PARALLEL SYSTEMS LIMITED;EH11 1DQ;62090;"26200
62090
74100";www.alpha-data.com
A.L.P.S. ENGINEERING COMPANY LIMITED;EH45 8JE;33120;"33120
71122
72190
74100";
ANYTHING GOES (EMBROIDERY) LTD.;EH11 3UY;14190;14190;www.get-branded.net
GREAT COMPUTING LIMITED;EH49 6SJ;74100;74100;
THE COMMUNICATIONS BUSINESS LIMITED;EH6 6RR;70210;"70210
74100";www.thecommunicationsbusiness.com
GP WOLFFE LTD;EH3 8HE;74100;74100;www.wolffedesign.com
KIRK ENTERPRISES LIMITED;EH54 7DE;62030;"13100
56210
62030
90030";
APB DISPLAYS LIMITED;EH12 5BA;74100;74100;www.apbdisplays.com
TOPTECH (SCOTLAND) LIMITED;EH47 8BY;22290;"22290
25990
28990
74100";www.top-tech.co.uk
SAGE SAFETY LIMITED;EH8 8AD;70229;"70229
71122
71200
74100";www.sagesafety.co.uk
HKS KNITWEAR (UK) LIMITED;EH3 9GL;13910;"13910
46410";www.hks.com
MARGARET BLACKWOOD TECHNICAL CONSULTANTS LIMITED;EH11 1DQ;74100;74100;www.blackwoodgroup.org.uk
DESIGNWORKS DESIGN & ARTWORKING LIMITED;EH6 4DJ;74100;74100;www.designwork.co.uk
ATOM DESIGN LTD.;EH9 1NY;74100;74100;
CODEARCHIVE.COM LTD.;EH7 4QJ;74100;"55900
74100";
BERKELEY CONTRACTING LIMITED;EH21 6RR;74100;74100;
DGAMOS LIMITED;EH3 7EB;70229;"70229
74100";
GARMENT SOLUTIONS LTD.;EH48 4JA;14120;14120;www.garment-solutions.co.uk
SNUGBUGS LIMITED;EH4 6AN;13921;13921;www.snugbugs.co.uk
NIAL STEWART DEVELOPMENTS LIMITED;EH22 3DR;74100;74100;www.nialstewart.co.uk
BRUCE CLARK LIMITED;EH14 1PA;14131;14131;
ELUCIDATION (2000) LIMITED;EH6 6JJ;74100;74100;www.elucidation.co.uk
ANNE KENMURE AND ASSOCIATES LTD.;EH27 8DJ;74100;74100;www.annekenmure.co.uk
BASSLINE INDUSTRIAL DESIGN LIMITED;EH10 4NY;74100;74100;www.productdesignonline.net
CAMPBELL & CO DESIGN CONSULTANTS LIMITED;EH9 1NR;74100;74100;www.campbelland.co.uk
TO CREATE LIMITED;EH3 6AT;74100;74100;www.tocreate.co.uk
GARVIE CLARK ASSOCIATES LTD.;EH14 1PA;14132;"14131
14132";www.bruceclark.com
DAVID RUSSELL ASSOCIATES LIMITED;EH52 5DL;74100;74100;www.consultdr.net
CUBIT DESIGN LIMITED;EH21 7PB;74100;74100;www.cubit3d.com
ADVENTURE CONCEPTS LIMITED;EH2 4JN;74100;74100;
AD-LOO;EH2 4PH;74100;74100;
STUDIOARC DESIGN CONSULTANTS LIMITED;EH6 6RS;74100;74100;www.studioarc.co.uk
SANDSTORM INTERNATIONAL LIMITED;EH7 4HG;13922;13922;
BILL BABER LIMITED;EH1 2JR;14190;14190;www.billbaber.com
CRAIGHEAD & WOOLF LIMITED;EH3 7TA;47599;"47599
74100";www.craighead-woolf.com
K TWO PRODUCTS (DESIGN) LIMITED;EH1 3NR;74100;74100;www.ktwoproducts.com
SCOTTISH MOUNTAIN GEAR LIMITED;EH21 6SY;13921;"13921
96090";www.scottishmountaingear.com
CATHERINE AITKEN LIMITED;EH6 6ET;14190;14190;www.catherineaitken.com
SHORE DESIGN CONSULTANCY LIMITED;EH6 6QU;74100;74100;www.shore-group.com
NEVIS DESIGN CONSULTANTS LIMITED;EH3 6SW;74100;74100;www.nevisdesign.co.uk
39 STEPS LIMITED;EH10 4BY;74100;74100;www.39steps.co.uk
KINDLE DESIGN LTD;EH7 4AY;74100;74100;www.kindle.uk.com
I4 PRODUCT DESIGN LIMITED;EH17 8RT;74100;74100;www.i4pd.co.uk
LIZZIE BELL INTERIORS LIMITED;EH39 5AW;74100;74100;www.lizziebellinteriors.com
CASTINGS PROMOTIONAL EMBROIDERY LIMITED;EH52 6PA;13300;13300;www.castingsonline.co.uk
ESKIMO DESIGNS LIMITED;EH10 4PJ;74100;74100;www.eskimoonline.com
TOTSEAT LIMITED;EH9 1AT;13990;13990;https://totseat.com
SKAKEL & SKAKEL LIMITED;EH22 3AF;74100;74100;www.skakel.co.uk
COOB LIMITED;EH11 1HZ;74100;74100;
DAVID FLOCKHART LIMITED;EH10 6XE;74100;74100;www.flockhart.co.uk
SOULSBY GOLF DESIGN LIMITED;EH4 6SB;93199;"74100
93199";www.soulsbygolfdesign.com
LINKS DESIGN LIMITED;EH4 7AG;90030;"74100
90030";www.linksdesign.co.uk
UNIFIEDSPACE LIMITED;EH12 6HP;46499;"46499
47910
74100
90030";
WALKER SLATER TAILORING LIMITED;EH1 2JL;14131;14131;www.walkerslater.com
SKETCH IT DESIGN SERVICES LTD;EH51 0LT;74100;74100;www.sketchitdesign.co.uk
WGM CONSULTING ENGINEERS LIMITED;EH2 3BG;74100;74100;www.wgmltd.com
URBAN OUTLINE LIMITED;EH2 1EN;74100;74100;www.urbanoutline.co.uk
WENDY MORRISON DESIGN LIMITED;EH3 8JB;74100;74100;
WE LOVE DESIGN LIMITED;EH1 2BB;74100;74100;www.welovedesign.uk.com
CARNIVAL CHAOS PRODUCTIONS LIMITED;EH6 5HY;74100;74100;www.carnivalchaos.com
GATESIDE DESIGN LIMITED;EH47 0NQ;74100;74100;
