Company name;Postcode;Primary UK SIC (2007) code;All UK SIC (2007) codes;Website
TG ENTERTAINMENT LIMITED;EH3 5JY;59113;59113;www.blackcamel.co.uk
BALLDAN PRODUCTIONS LIMITED;EH6 6SE;59111;"59111
59112
59113
59120";
BOYLE DAVIDSON LTD.;EH54 9BD;59113;59113;
POTBOILER TELEVISION SCOTLAND LIMITED;EH3 6EN;59113;59113;
THE YOUTH RADIO NETWORK LIMITED;EH23 4AG;60100;"60100
73110";
HEARTHSAGA LIMITED;EH6 8RG;59111;"59111
59113
59120";
ANDREW ABBOTT LIMITED;EH9 1NR;59113;59113;
ARIES FILM AND TV LTD;EH10 6LS;59111;"59111
59113";
HOGARTH DIGITAL LIMITED;EH22 3NU;59113;59113;
QUARK TV PRODUCTIONS LTD;EH12 9DQ;59112;"59112
59113";
ASSEMBLY CHRISTMAS CAROL LTD;EH8 9SU;59113;59113;
NORTH BY NORTHNORTH MEDIA LTD;EH30 9RG;59113;59113;
BMK PICTURES LIMITED;EH3 6AT;59120;59120;
GARY SCOTT EDITOR LTD;EH1 1NB;59113;59113;
HAILSTONE FILMS LIMITED;EH3 6JN;59111;"59111
59112
59113";
MELT THE FLY LTD;EH6 4DD;59112;"59112
59113";
IMMAGINE PRODUCTIONS LIMITED;EH15 2AJ;59112;"59112
59113
59120";
TMESIS MEDIA LTD;EH51 9LZ;59111;"59111
59113";
CUSTOM FLAVOUR LTD;EH3 6RE;59112;"59112
59120
59132";
SUNOH EDINBURGH LTD;EH7 4BB;60100;60100;
BRAW VFX LTD;EH6 8RG;59111;"59111
59120";
FRASERVISION LTD;EH6 6RR;59133;59133;
STORM FEATURES LIMITED;EH42 1GG;59113;59113;
IGNITE TV COMMUNITY INTEREST COMPANY;EH4 1DE;59113;"59113
59132
59133
60200";
SKYZ THE LIMIT LIMITED;EH9 1PL;59111;"59111
59113";
W.H.J DESIGN LIMITED;EH1 2DP;59113;59113;
ARUNA PRODUCTIONS LTD;EH3 6RE;59111;"59111
59112
59113
59120";
STONED BONED SOBER PRODUCTIONS LIMITED;EH3 9BE;59111;"59111
59112
59120
59132";
REDPATH PRODUCTIONS LTD;EH6 6DA;59120;59120;
PORTOBELLO FILMS LTD;EH7 6QY;60200;60200;
PARCEL OF ROGUES LTD;EH3 6RH;59111;"59111
59113";
EIGHTEEN10 PRODUCTIONS LTD;EH2 4JB;60100;"60100
60200";
DULCIMER FILMS ONE LTD;EH6 6RR;59113;59113;
ADVOCATE MUSIC LTD;EH16 6DW;59200;"59200
60100";
PATRICK PICTURES LTD;EH6 6RR;59120;59120;
HELMWORKS FILM LTD;EH22 1DS;59111;"59111
59112
59120";
DEVIL MAY CARE ENTERTAINMENT LTD;EH9 3EE;59111;"59111
59113";
SAM RADIO LTD;EH7 6HU;60100;60100;
WIDESHOT LTD;EH3 6PW;59112;"59112
59113";
EH-FM RADIO C.I.C.;EH9 1PL;60100;60100;
STREAM DIGITAL LTD;EH54 9DF;59112;"59112
59120
62030";
REIVER PICTURES LIMITED;EH6 8HN;59113;"59111
59113";
1 ALFA BRAVO COMMUNICATIONS LIMITED;EH6 7BD;60100;60100;
ROWANTREE MEDIA LTD;EH2 3JG;59111;"59111
59112
59120
74209";
LOTHIAN FILMS LTD;EH7 5UF;59111;"59111
59112
59113";
TRIAD PROMOTIONS LTD;EH54 8DD;60200;"60200
78101
93110
93199";
MATT RAMSEY PROPS LTD;EH19 3EY;59113;59113;
INSPIRED EDINBURGH LTD;EH12 5DD;59112;"59112
60200
73110";
OFFBEAT AUDIO LTD;EH1 1SW;59200;"59200
60100
90010
90030";
MCCANN MEDIA (EDINBURGH) LIMITED;EH1 2AE;60200;60200;
RICH MEDIA GLOBAL LTD;EH4 2BH;60100;60100;
BOX MEDIA AGENCY LTD;EH2 4DB;59111;"59111
59120
63990";
WHITE STAG FILMS LTD;EH6 6RQ;59111;"59111
59112
59113";
2QQ LIMITED;EH2 3JG;60200;"60200
63910
68209";
FERAL INC LTD;EH8 8HR;59111;"59111
59113";
GUERILLA TV CHANNEL LTD;EH3 9BN;60200;60200;
PATON CREATIVE LIMITED;EH7 5JT;59112;"59112
59120
73110
74100";
CLOTH EARS AUDIO LTD;EH7 5NS;59113;"59113
59200";
ENEMY PRODUCTIONS LTD;EH6 8HP;59111;"59111
60200";
HELLENIC RADIO UK LIMITED;EH7 6LN;59200;"59200
60100
60200
73110";
OCCASIONS FM LTD;EH14 3JJ;59112;"59112
60100
73120
74203";
JUST THE TONIC PRODUCTIONS LTD;EH4 1PQ;47910;"47910
59113";
NAVIGATION DYNAMICS LIMITED;EH3 6RE;59113;59113;
DR. ROBERT LTD;EH3 6TE;59113;59113;
INFODAY LTD;EH1 9GP;58130;"58130
58290
59113";
EDINBURGH DAB LTD;EH15 1RE;60100;60100;
FEEL MA EARS LTD;EH6 4DD;59112;"59112
59120";
DRAFI PRODUCTIONS LIMITED;EH12 5TL;18202;"18202
59120
59200";
