Company name;Postcode;Primary UK SIC (2007) code;All UK SIC (2007) codes;Website
LORINN CONSULTANCY LTD;EH15 2NA;62020;62020;
KOSHAL IT SERVICES LIMITED;EH6 7BD;62020;62020;
BIELSIDE MEDIA LIMITED;EH42 1WA;62020;62020;
RANDOM STATE LTD.;EH39 5AW;62012;62012;
AGILE PROJECT MANAGEMENT CONSULTANCY LIMITED;EH54 7EE;62020;62020;
DIJIPIJI LIMITED;EH15 3QB;62012;"62012
62020";www.dijipiji.com
THISTLEWAVE LIMITED;EH10 6PJ;62020;62020;
PREMIUM LETS LIMITED;EH21 6QD;68100;"62012
68100
68209";
PLING LTD;EH28 8TF;62012;62012;www.plingtoys.com
HANDARK IT LIMITED;EH29 9GG;62020;62020;
CORIDIUM STUDIOS LIMITED;EH6 6RR;62011;"62011
62012";
EGRESSION PARTNERS LIMITED;EH4 2BY;62020;62020;
DAKS SOLUTIONS LTD;EH16 5BL;62020;62020;
STOB BINNEIN LIMITED;EH26 9LZ;62020;62020;
SAPRESOURCE LTD;EH4 7AD;62020;62020;
SMK BUSINESS SOLUTIONS LTD;EH2 3JG;62020;62020;
KNOWLEDGEIT LIMITED;EH13 0DA;62020;62020;
DENHAM SOLUTIONS LTD;EH14 5HY;62020;62020;
BRIDGENESS DATA MINING LIMITED;EH51 9LS;62020;62020;
SWIFTTOUCHE TECHNOLOGIES LIMITED;EH54 6FP;62020;62020;
BANKSIA LIMITED;EH16 5DJ;62020;62020;
TECHNICIANT LIMITED;EH30 9SS;62020;62020;
UNIVERSAL ACCESSIBILITY LTD;EH11 1LT;62020;62020;
PINDROP LOGIC LIMITED;EH7 4DL;62020;62020;
QUANTUM IT DIGITAL LTD;EH10 7HD;62012;62012;
L COATS LIMITED;EH22 3FQ;62020;62020;
INVESTMENT SOLVER LIMITED;EH10 5DT;62012;62012;
DC ANALYSIS LIMITED;EH12 8AN;62020;62020;
PONY POWERED LIMITED;EH20 9GB;62020;62020;
KIRK FINANCE LIMITED;EH22 4SU;62020;62020;
VINAYSAKTHISAAI INFO TECH LIMITED;EH11 1RP;62020;62020;
SHREEJI SOLUTIONS & SERVICES LTD;EH5 2GL;62020;"62020
74909";
CALMA SOLUTIONS LIMITED;EH48 4NW;62020;62020;
GLENCAIRN DATA SOLUTIONS LIMITED;EH3 5DQ;62012;62012;
KIN WORKS LIMITED;EH3 9DR;62020;62020;
VW IT CONSULTANCY LTD.;EH11 1LW;62020;62020;
JST SOFTWARE DEVELOPMENT LIMITED;EH7 6PN;62020;62020;
LUMINOUS STRATEGY CONSULTING LIMITED;EH1 2DP;62020;62020;
SOMMERFORD TECHNOLOGY LTD.;EH7 4EG;62020;62020;
JASON KING IT SOLUTIONS LIMITED;EH49 7NR;62020;62020;
QSR CONSULTING LIMITED;EH26 9NJ;62020;"62020
70229";
MTS CHANGE CONSULTANCY LIMITED;EH26 0BH;62020;62020;
CLARK BUSINESS DEVELOPMENT LIMITED;EH2 4AT;62012;"62012
70229";
IR YOUNG LTD;EH2 4HQ;62020;62020;
BELTEQ LIMITED;EH8 8PJ;62012;62012;http://belltreegroup.co.uk
MACRAE CONSULTANTS LIMITED;EH6 4NY;62020;62020;
JK IT LTD;EH49 7LX;62020;62020;
DREAM TECH LTD;EH12 8LP;62012;62012;
SYMANSYS TECHNOLOGIES LTD;EH19 3QJ;62020;62020;
RAASUN INFOTECH LIMITED;EH20 9BF;62020;62020;
HEALY-ALLISON CONSULTING LIMITED;EH54 8QP;62020;62020;
MAKKARU LTD;EH3 9BG;62020;62020;
TECH KEY SOLUTIONS LTD;EH3 5DQ;62020;62020;
DATA DAEMON LIMITED;EH3 5DQ;62020;62020;
MACRAE QA LIMITED;EH48 2TF;62020;62020;
TECHINTSOLUTIONS LIMITED;EH12 5SX;62020;62020;
PRAGMATIC ANALYSIS LIMITED;EH30 9RU;62020;62020;
EISM CONSULTING LIMITED;EH15 2QD;62020;62020;
STEDSTANCH LIMITED;EH6 5FP;62020;62020;
LANCET EDGE LIMITED;EH16 6XA;62020;62020;
EDINBURGHTECH LIMITED;EH2 4HU;62020;62020;www.edinburghtech.co.uk
TRANSFORM IT SOLUTIONS LIMITED;EH10 7HQ;62020;62020;
FILM & CAMPAIGN LTD.;EH30 9HX;58190;"58190
59111
59131
62020";
CONNECTION STRATEGIST LIMITED;EH48 2UN;58190;"58190
62020
63120
74909";
GALLROCK LIMITED;EH52 5FB;62020;62020;
TRINOMEN INFORMATION AND TECHNOLOGY LTD;EH2 1EN;62020;62020;
INGENCIA LTD;EH6 6RR;62020;62020;www.ingencia.co.uk
OPTIMISEIT LTD;EH48 1RY;62020;62020;
GATEWAY DATA MANAGEMENT LIMITED;EH12 7DN;62020;62020;
G BRADLEY CONSULTANCY LTD;EH22 1DS;62020;62020;
SPRINGBANK SOLUTIONS LIMITED;EH5 3NZ;62020;62020;
NPH I.T SERVICES LIMITED;EH41 3JU;62020;62020;
J&ST LIMITED;EH49 7TF;62020;62020;
ZIRCON SOLUTIONS LIMITED;EH54 8BB;62020;62020;
LIFELINKED LIMITED;EH2 3JG;62012;62012;
SMART TESTING LTD.;EH22 2FS;62020;62020;
DEVENIR PLUS LTD;EH40 3DX;62012;"62012
85590";
VIKSHARA TECHNOLOGIES LIMITED;EH20 9GB;62020;62020;
RJ ANALYTICS & CONSULTANCY LIMITED;EH3 5DQ;62020;62020;
DTC (SERVICES) LIMITED;EH28 8RX;62020;62020;
DB CONSULTING SERVICES LTD;EH6 4QH;62020;62020;
GRMP CONSULTANCY LIMITED;EH49 7EL;62020;62020;
BASTNET LTD;EH6 6JN;62012;62012;
CODE TONIC SCOTLAND LIMITED;EH54 7DE;62012;62012;
FREAK DESIGN LIMITED;EH2 1EA;62020;"62020
62090
90030";www.freakwebdesign.co.uk
INTELLIGENT SUPPORT SOFTWARE LIMITED;EH5 2GN;62012;62012;
BRUNSTANE LIMITED;EH15 2NR;62020;"62020
70229";
NOLLO LIMITED;EH3 8EH;62012;62012;
WORKPLACE MESSAGING LIMITED;EH3 8EH;62020;62020;
CODECRATS LTD;EH3 8BL;62020;62020;
BL GLOBAL MANAGEMENT LTD;EH3 5DQ;62020;62020;
HS9 LTD.;EH3 5DQ;62020;62020;
AEM CONTRACTING LIMITED;EH7 5EQ;62020;62020;
WCF CONSULTANCY LIMITED;EH3 6AD;62020;62020;
PIWORX LIMITED;EH48 2TB;62020;"62020
70229
85590";http://donaldcraigie.wix.com
CLOUDEFFIC LTD;EH12 8XD;62012;"62012
62020
71122";
R3 IT CONSULTANCY LIMITED;EH12 9GJ;62020;62020;
CLEAR DIRECTION STRATEGIC SOLUTIONS LIMITED;EH25 9AA;62020;62020;
APOLLO 47 LTD;EH10 5SN;62020;62020;
NEWFRUIT LIMITED;EH53 0HT;62020;62020;
VCLOUD CONSULTING LTD;EH21 7EN;62020;62020;
GENESYS COMPUTER TECHNOLOGIES LTD;EH10 4QR;62020;62020;
RW RESULTS LIMITED;EH4 5AP;62020;62020;
KOGNITION.IO LIMITED;EH7 5QZ;62012;62012;
AJP TECHNOLOGY CONSULTING LTD;EH6 6NH;62020;62020;
PULOMI LIMITED;EH54 8AP;62012;"62012
62020";
TEKTON CONSULTING LTD;EH1 3HP;62020;62020;
CORDNET LIMITED;EH52 6BL;62020;62020;www.cordnet.co.uk
SOFTODIA LIMITED;EH14 1PD;62020;62020;
DELIVERINGCRM LIMITED;EH44 6JU;62020;"62020
62090";
CRAIGHOUSE IT SOLUTIONS LIMITED;EH11 1RW;62020;62020;
V.K.L INFOTECH LTD.;EH54 6TB;62020;62020;
CASTLELAW CONSULTING LIMITED;EH10 6RN;62020;62020;
SMH CONNECT LIMITED;EH22 3NX;62020;62020;
FIRECHEF LTD;EH21 8PY;47640;"47640
56210
62020";
NEBULAE SOLUTIONS LTD.;EH14 2TJ;71122;"33130
62012
71122
72190";
ZUBAIR HUSSAIN LIMITED;EH54 7DE;62020;62020;
DEVIDO LTD;EH3 5DQ;62020;62020;
IMPACT IT CONSULTING LIMITED;EH4 6DF;62020;62020;
MASSIVE DIGITAL LIMITED;EH12 5LA;62020;62020;
GZP CONSULTING LTD;EH17 7SA;62020;62020;
SNOWDUCK LIMITED;EH12 8QR;62020;62020;
GHI CONSULTANCY LTD;EH45 9LT;62020;62020;
S J BROWN TECHNOLOGY LIMITED;EH17 7SL;62020;62020;
NORTH RIVER CONSULTANCY LTD.;EH19 2HE;62020;62020;
RTM PROJECT MANAGEMENT LTD;EH39 4BL;62020;62020;
RNO CONSULTING LIMITED;EH49 7PL;62020;62020;
METAGENIUS LIMITED;EH12 9JG;62020;62020;
CAMERON BOYLE CONSULTING LIMITED;EH54 7DE;62020;62020;
DROE LIMITED;EH7 6SB;62020;62020;
ISTOMEDIA LIMITED;EH1 3QN;62012;62012;
MANITI CONSULTING LTD;EH12 8JW;62020;62020;
CO-MI-IT SERVICES LTD;EH49 7JQ;62020;62020;
ELLIS TEST CONSULTANCY LIMITED;EH45 8BD;62020;62020;
STREAMLINE CONSULTANCY LIMITED;EH15 1SQ;62020;62020;
SRI GANESHA SOFTWARE SOLUTIONS LIMITED;EH12 9LQ;62020;62020;
PROWESS SOFTWARE LIMITED;EH54 6TR;62012;62012;
L. C FLEMING LTD;EH29 9GE;62020;62020;
LONGEVITAS SERVICES LIMITED;EH3 6AJ;58290;58290;
KMMR PRIVATE LTD;EH54 6UJ;62020;"62012
62020
62030
62090";
PBS7 CONSULTANCY LTD;EH34 5DR;62020;62020;
NIGEL SINCLAIR CONSULTING LIMITED;EH3 7RA;62020;62020;
SUNSTONE SYSTEMS LTD;EH53 0JZ;62020;62020;
SAFFARI INTERNATIONAL LIMITED;EH15 1NN;62020;62020;
CLAN MCCANN LTD.;EH9 2BG;62020;62020;
VNS INFOTECH LTD;EH12 8PY;62020;62020;
CUOLLO CONSULTANCY LTD;EH3 5DQ;62020;62020;
ROUND HILL CONSULTING LTD;EH10 6UT;62020;62020;
ST PETROX ENTERPRISE LIMITED;EH11 4BY;62020;62020;
MACLEAN SCOTLAND LIMITED;EH8 7RE;62020;62020;
OS11 LIMITED;EH11 4BY;62020;62020;
71 FINANCIAL MANAGEMENT LIMITED;EH45 8BG;62020;"62020
70221
70229";
YASHISOLUTIONS LIMITED;EH11 3EB;62020;62020;
M BAPTIE CONSULTANCY LIMITED;EH19 2DG;62020;62020;
SUROS CONSULTING LIMITED;EH3 7RA;62020;62020;
AFIT SOLUTIONS LIMITED;EH3 5AF;62020;62020;
3 MINUTES TO MIDNIGHT LIMITED;EH7 6ST;62020;"62020
70229";
MCGAVIN CONSULTING LTD;EH30 9DA;62020;62020;
FIENNES.ORG LTD;EH3 7AA;62012;62012;
EBEN TECHNOLOGY LIMITED;EH52 5JA;62020;62020;
IT WRIGHT LIMITED;EH3 6RE;62020;62020;
BYTETOKEN, LTD;EH3 8BL;58290;"58290
62012
62090
74100";
CANIMAAN SOFTWARE LTD;EH2 2AF;62012;62012;
MICROCAPE LTD;EH12 8EP;62020;62020;
MEADOW TECH LIMITED;EH22 3FF;62020;62020;
CUTTLEFISH GRAPHICS LIMITED;EH54 7EG;62012;62012;
PJ COONEY CONSULTANCY LIMITED;EH6 8BJ;62020;62020;
ETHIRAJAN & CO LIMITED;EH7 5FP;62020;62020;
TINTO SOFTWARE SERVICES LTD;EH54 6UG;62020;62020;
GMB TECHNOLOGY LIMITED;EH7 4DH;62012;62012;
MIRREN J FISCHER LIMITED;EH22 4AD;62012;"62012
62020";
GMH TEST CONSULTANTS LTD;EH12 7US;62020;62020;
MAYA CONSULTANCY LIMITED;EH23 4FJ;62020;62020;
JKI CONSULTING UK LIMITED;EH6 4BJ;62020;62020;www.jkiconsulting.com
GUBERNUS LTD;EH54 8RD;62020;62020;
WICKHAM LTD;EH3 6AD;62020;62020;
CJS IT CONTRACTS LIMITED;EH47 0SE;62020;62020;
FJCC LTD;EH4 2HZ;62020;62020;
NITS IT SOLUTIONS LTD;EH12 8PE;62020;"62012
62020
62030
62090";
SONRA 2 LTD;EH3 5DQ;62020;62020;
HSQUARE CONSULTANCY LIMITED;EH12 7RQ;62020;62020;
WILD PROJECTS LTD;EH3 5PU;62020;62020;
INSIGHT SOFTWARE EDINBURGH LTD;EH2 2AF;62012;62012;
GORMAR CONSULTING LTD;EH12 9LN;62020;62020;
COMPUTE THING LIMITED;EH30 9RG;62012;62012;
PRIYA ACTIVEWEAR LTD;EH7 5HE;62020;62020;
WILCATT CONSULTING LTD;EH10 4JU;62020;62020;
FORESIGHT TECHNOLOGY SOLUTIONS LIMITED;EH3 9DR;62012;62012;
PEARSON GALBRAITH LIMITED;EH3 6AD;62020;62020;
FORTHMEDIA LTD;EH5 1QT;62012;62012;
EAST LOTHIAN IT CONSULTANCY LTD;EH34 5HA;62020;62020;
AMERISCOT TESTING LIMITED;EH7 5FQ;62020;62020;
VALUEWAVE SYSTEMS PRIVATE LIMITED;EH3 5DQ;62020;62020;
GLES-IT LTD;EH19 3WH;62020;62020;
COM7 LTD;EH10 5TB;62020;62020;
KINETRIC LIMITED;EH3 6LY;62020;62020;
MARTHE S. JACOBSEN LTD;EH3 8HX;62020;62020;
LUMAC SERVICES LIMITED;EH22 3NX;62020;62020;
MALBET IT CONSULTING LIMITED;EH16 6SY;62020;62020;
DTL CREATIVE LIMITED;EH10 6HR;62020;62020;
LOCKED SOLUTIONS LIMITED;EH41 4HG;62020;62020;
HOENIR CONSULTING LIMITED;EH53 0PN;62020;62020;
JUICY SOFTWARE PROJECTS LTD;EH21 7SZ;62020;62020;
BLUE SHELL IT LTD;EH4 8BP;62012;"62012
62020";
TOM PROJECT MANAGEMENT LIMITED;EH14 2LR;62020;62020;
EH16 LIMITED;EH16 6NA;62020;62020;
CARPE DIEM LG LIMITED;EH19 2EX;62020;62020;
SILVER AROWANA SOLUTIONS LTD;EH34 5EJ;62020;62020;
MCELL CONSULTING LIMITED;EH6 5BR;62020;62020;
CTT FUSIONS LIMITED;EH10 4HJ;62020;"62020
62090
85590";
UNITECH SOFTWARE SOLUTIONS LIMITED;EH54 6FT;62020;62020;
AMERGE CONSULTING LTD;EH3 6TN;62020;62020;
INFOTEST CONSULTING LTD;EH10 6LU;62020;62020;
INDEPENDENT TECHNOLOGY SOURCING PARTNERSHIP LIMITED;EH4 6NZ;62020;62020;
SKALA TECHNOLOGY LTD;EH6 7BD;62020;62020;
WESTWATER CONSULTING LTD;EH46 7BT;62020;62020;
IMK SOLUTIONS LTD;EH17 7NU;62020;62020;
BRAIDWOOD PARTNERS LTD;EH9 2JD;62020;"62020
68310";
SEQUELGATE TECHNOLOGY SOLUTIONS LTD;EH11 2TS;62020;62020;
INVERLEITH CONSULTING LIMITED;EH3 5PY;62020;62020;
MONEY SCANNER LTD;EH20 9BQ;62020;62020;
FAST TEMPUS LTD;EH10 6XE;62020;62020;
ETTUCE LIMITED;EH2 4JN;62012;62012;
CLIENTMAP LTD;EH7 5AB;62012;"62012
62020";
KIS CONSULTING LIMITED;EH10 5SN;62020;"62020
96090";
CARR ARMSTRONG ASSOCIATES LTD;EH4 7TD;62020;62020;
PARJA CONSULTING LTD;EH34 5HQ;62020;62020;
