Company name;Postcode;Primary UK SIC (2007) code;All UK SIC (2007) codes;Website
EDINBURGH BLUES CLUB CIC;EH12 8UA;90020;90020;
FRENCH FILM FESTIVAL LIMITED;EH4 3BY;90020;90020;www.frenchfilmfestival.org.uk
THE SCOTTISH LITERARY TOUR TRUST;EH2 3BN;90020;90020;www.edinburghliterarypubtour.co.uk
FESTIVALS EDINBURGH LIMITED;EH1 1YJ;90020;90020;www.edinburghfestivalcity.com
THE EDINBURGH YOUTH ORCHESTRA SOCIETY;EH14 1XQ;90010;90010;
AUTHENTIC ARTIST COLLECTIVE CIC;EH49 7NG;90040;90040;
PUPPET STATE THEATRE COMPANY LTD;EH13 0DU;90030;"90010
90030";www.puppetstate.com
CYAN CLAYWORKS CIC;EH7 4JE;85520;"85520
90030
90040";www.cyanclayworks.co.uk
PENICUIK COMMUNITY DEVELOPMENT TRUST LTD;EH26 8LL;01130;"01130
47789
90040
91020";www.penicuikcdt.co.uk
G25 PROJECT CIC;EH6 7EZ;90040;90040;
JUST FESTIVALS;EH2 4BJ;90030;"90030
90040";www.justjust.org
NEW MEDIA SCOTLAND;EH1 2LE;90030;"90030
90040";www.mediascot.org
ARTICULATION ARTS LIMITED;EH6 8RG;90020;90020;www.articulationarts.org
CINEMAATTIC PRODUCTIONS CIC;EH9 1AW;90040;90040;
EDINBURGH SOCIETY OF MUSICIANS LIMITED;EH4 3BL;90020;90020;www.edinburghsocietyofmusicians.co.uk
LONESOME HIGHWAY LIMITED;EH5 3PS;90020;90020;www.lonesomehighway.co.uk
DAG ARTS LIMITED;EH11 3YJ;90040;90040;
BLANK SCRIPT LIMITED;EH32 0NF;90010;"90010
90030";
JQH PRODUCTIONS LIMITED;EH6 6QB;90010;90010;
BADAC THEATRE COMPANY LIMITED;EH1 2BB;90030;"90010
90030";www.badactheatre.com
3 HARBOURS ARTS FESTIVAL COMMUNITY INTEREST COMPANY;EH21 8AT;90020;90020;
SHONA REPPE PUPPETS;EH21 6AF;90010;90010;
BORDERS SCULPTURE PARK;EH3 9EE;90040;90040;
GENERATION EDINBURGH CIC;EH35 5NA;90010;"85200
90010";
DAG MUSIC LIMITED;EH32 9GD;90010;90010;
SCO TRADING LIMITED;EH7 5AB;90020;90020;www.sco.org.uk
VILLAGE PUB THEATRE LTD;EH6 5RL;90010;"90010
90030";
TRINITY THEATRE COMPANY EDINBURGH LTD;EH5 3JR;90010;90010;
EDINBURGH FILM GUILD.;EH3 9BZ;90040;90040;www.edinburghfilmguild.org.uk
ART IN PARTNERSHIP SCOTLAND LIMITED;EH3 7JY;90040;90040;www.art-in-partnership.org.uk
ALTERNATIVE CURRENT ELECTRICAL LTD;EH16 5RW;33140;"33140
43210
90020";
AFRICAN CONNECTIONS CIC;EH12 7XR;90010;"90010
90020
90030
90040";
THEATRE OBJEKTIV LIMITED;EH3 6AT;90010;"90010
90020
90030";www.theatreobjektiv.co.uk
DEBLANC LTD;EH6 5RL;90020;90020;
THE R RETREAT LIMITED;EH48 2GE;70210;"70210
90040
93290";
SEVEN DOORS;EH3 5BB;90010;90010;www.sevendoors.org.uk
THE ELEMENTS WORLD THEATRE;EH4 1HB;90010;90010;www.the-elements.org.uk
SPORRANDIPITY LTD;EH14 7BE;90010;90010;
ROBERT BURNS LIVE LTD.;EH15 1RE;90010;90010;http://robertburns.live
BACKSTAGE ART CLUB EDINBURGH CIC;EH14 3AQ;90020;90020;
EDINBURGH FORGE CIC;EH9 2HB;85590;"85590
90030
90040";
BECKMAN UNICORN PRODUCTIONS LIMITED;EH6 7JH;90010;90010;
THEATRE ALBA/MPR;EH33 2AA;90010;90010;www.theatrealba.com
EDINBURGH YOUTH MUSIC FORUM;EH6 8ST;90020;90020;www.edinburghyouthmusicforum.org
EDINBURGH FESTIVAL OF INDIAN FILMS AND DOCUMENTARIES LIMITED;EH14 1TJ;59140;"59140
90010";
Bellevue Gallery;EH3 6ND;90040;90040;
Chamber Studio;EH5 1PF;90040;90040;www.chamberstudio.co.uk
City Art Centre;EH1 1DE;90040;90040;www.edinburghmuseums.org.uk
Colours Gallery;EH3 6QQ;90040;90040;www.coloursgallery.co.uk
Dalkeith Arts Centre;EH22 1AE;90040;90040;
Dominion Cinema;EH10 4RT;59140;"59140
90040";www.dominioncinema.com
Edinburgh Arts & Picture Framers;EH6 5PB;90040;"32990
90040";
Edinburgh Arts & Picture Framers;EH8 9BE;90040;"32990
90040";www.edinburgharts.com
Groove Tunnel;EH20 9QX;90040;90040;www.groovetunnel.com
Heart Beat Recording Studios;EH23 4QP;90040;90040;www.heartbeatstudio.co.uk
Scottish Storytelling Centre;EH1 1SR;90040;"88990
90040";www.scottishstorytellingcentre.co.uk
Leith Theatre & Thomas Moreton Hall;EH6 4AE;90040;"68202
90040";
The Line Gallery;EH49 7ES;90040;90040;www.thelineonline.co.uk
McNaughtan's Bookshop;EH7 4AE;47799;"47799
90040";www.mcnaughtans.co.uk
National Galleries Scotland;EH4 3DS;90040;"88990
90040";www.nationalgalleries.org
Penicuik Community Arts Association;EH26 9DL;56103;"56103
90040";
Pier House Studios;EH5 1HE;90040;90040;
Royal Mile Gallery;EH8 8AA;90040;"47610
90040";www.royalmilegallery.com
Scottish Pictures;EH1 2LD;90040;90040;
