Company name;Postcode;Primary UK SIC (2007) code;All UK SIC (2007) codes;Website
AC2.COM PRODUCTIONS LTD.;EH3 9QA;59112;59112;www.ac2.com
CSK INTEGRATED SOLUTIONS LTD;EH12 8UB;59112;"59112
59113";www.cskis.com
ANALYSIS LOST PRODUCTIONS LIMITED;EH2 3LJ;59112;59112;www.analysislost.com
STUDIO FINANCE LIMITED;EH6 7BD;59111;59111;
MUCKLE HEN PRODUCTIONS LTD.;EH6 7BD;59112;59112;www.mucklehen.com
FREAKWORKS LIMITED;EH6 6RB;59120;"59112
59120";www.freak-works.com
SLIM JIM FILMS LTD.;EH6 7BD;59111;59111;
KO LIK FILMS LIMITED;EH3 5JY;59111;59111;
STRANGE BOAT LIMITED;EH6 8EA;59112;59112;www.strangeboat.com
MARTIN PARRY PRODUCTIONS LIMITED;EH6 6JG;59112;59112;
THOSE MEDIA GUYS LIMITED;EH2 3LJ;59111;59111;https://thosemediaguys.com
CONNECTFILM LTD.;EH8 8HR;59111;"59111
59113";
SLATE NORTH LIMITED;EH3 6EN;59111;59111;www.velvet-tv.com
OSCUS MEDIA LIMITED;EH4 6RB;59112;"59112
59113";
ACTION MEDIA SAFETY LTD.;EH6 7BD;59111;59111;www.action-media-safety.com
CREATIVE SCOPE LTD;EH7 4QZ;59112;59112;www.creativescope.co.uk
HEATON PICTURES LIMITED;EH3 6AT;59120;59120;
SCANDINAVIA LIMITED;EH11 2JG;59111;59111;
SQUARE FACE PRODUCTIONS LIMITED;EH37 5AH;59112;59112;
FIFTY NINE PRODUCTIONS LIMITED;EH1 3QB;59112;59112;www.59productions.co.uk
SIKTILT.COM LTD;EH22 3FB;60200;"59112
60200";
THEATREHD LTD;EH13 0EN;59112;"59112
60100";www.theatrehd.tv
LYRE PRODUCTIONS LIMITED;EH25 9NY;59111;59111;
SDI PRODUCTIONS LTD;EH10 4SY;59111;59111;www.rogiepogie.com
H F SYSTEMS (SCOTLAND) LIMITED;EH41 3DE;62020;"59112
62020
70229
73120";
NORTH ISLE PRODUCTIONS LIMITED;EH3 9LL;59111;"59111
59120";www.northisle.co.uk
NEXUS DIGITAL MEDIA LIMITED;EH6 6SA;59112;"59112
59113
59120
59132";www.nexusdigitalmedia.tv
CADPEOPLE UK LTD.;EH7 4JE;62090;"59112
62090
73110
85600";www.cadpeople.com
INTERFERENCE PATTERN LIMITED;EH9 1PL;59120;59120;www.interferencepattern.com
NEWTOWNVISION LTD;EH3 6PL;59112;"59112
63990";
WEST COAST FILM PRODUCTIONS LIMITED;EH3 8EJ;59111;59111;
SANCTUS MEDIA LTD;EH51 0AP;59112;"59112
59200
62020
62090";www.sanctusmedia.com
VISMAYA LIMITED;EH22 4AD;59111;"59111
62090";
TARTAN DOOR LTD;EH40 3DG;59111;59111;
TREASURE BOX PICTURES LIMITED;EH16 4GZ;59111;59111;
WINTS LTD;EH12 6UQ;59112;59112;www.wints.com
DAVE THOM LIMITED;EH6 6RR;59111;"59111
59112
59113";
REDWIRE LTD;EH6 7BD;59111;"59111
62020";
INTREPID CINEMA LIMITED;EH39 4BL;59111;59111;
DUGBUS LTD.;EH49 7ED;59111;59111;
NUMIDIA FILMS LIMITED;EH6 7BD;59111;"59111
86210";
THE POLKA DOT FACTORY LIMITED;EH10 5DT;59111;59111;
LOST BUT FOUND FILM LIMITED;EH1 2BB;59111;59111;
NJ TECH WRITE LIMITED;EH7 4JA;59112;"59112
74909";
BESPOKE CUTS LIMITED;EH7 5QU;59120;59120;
CHERRY TREE FILMS LTD;EH42 1ZP;59112;59112;www.cherrytree-films.com
MB PRODUCTIONS LTD;EH3 7PE;59112;59112;www.mbpltd.com
MIRAGE TELEVISION PRODUCTIONS LTD;EH12 6DT;59112;59112;
ARPEGGIO PICTURES LTD.;EH6 6BH;59111;59111;www.arpeggiopictures.com
BLUE IRIS FILMS LIMITED;EH1 3RN;59111;"59111
59112";www.blueirisfilms.co.uk
GLOCAST LTD;EH15 2JP;59112;"59112
62020
63120";www.glocast.com
TILT FILMS LIMITED;EH2 1EN;59111;59111;
FLAYR MEDIA LIMITED;EH3 6TE;59111;59111;
BIGGIGBOX LTD;EH54 5DR;59112;"59112
59132";
3-56 MEDIA LIMITED;EH11 1GT;58110;"58110
59112
70210
74100";www.3-56media.com
NEU REEKIE LIMITED;EH9 1PL;58190;"58190
59111
59112";
M2 FILMS LTD;EH6 6QZ;59112;59112;www.richardmountney.com
BROKEN BLONDE LIMITED;EH7 4AX;59120;59120;
LENNY O'BRIEN FILM LIGHTING LTD;EH6 6RR;59111;"59111
59113";
HONEYGREEN FILMS LTD;EH6 6JG;59112;59112;
SIMON HYND LTD;EH6 6RR;59111;59111;
RAPTOR FILMZ LTD.;EH54 0HG;59112;59112;www.raptorfilmz.com
TIMELIGHT MEDIA LTD;EH6 6JG;59112;59112;www.dxfilms.co.uk
EYEDOLL PRODUCTIONS LTD;EH8 9UP;59111;59111;
CYCLING FILMS LTD;EH9 1PB;59111;59111;
FRAMES PER SECOND LIMITED;EH11 1LW;59111;59111;
POLIFILM MEDIA LTD.;EH10 4LU;59120;59120;
UNIVERSAL SOUNDS (ARBROATH) LIMITED;EH48 1PH;59140;59140;
TRIGAH LIMITED;EH10 5DT;59131;59131;
KAREN LAMOND LTD;EH6 6RR;59111;59111;
DOUBLE TAKE PROJECTIONS LTD;EH12 8GG;59111;"59111
59140
90030";www.doubletakeprojections.com
ANIMATION GARDEN LTD.;EH9 1PL;59112;"59112
59120
90030
91020";www.animation-garden.com
LLAMA-RA FILMS LTD;EH45 9JG;59112;59112;
LYON EMPIRE LIMITED;EH4 8AN;59112;59112;www.lyonempire.co.uk
TOURMYHOME LIMITED;EH15 2LQ;59112;59112;
MERCURY EVENT SERVICES (EDINBURGH) LTD;EH7 4DR;59112;59112;
AIR CAM PRO UK LIMITED;EH43 6AB;59112;59112;www.aircamuk.pro
GRAND GESTURE FILMS LIMITED;EH13 0NW;59111;59111;www.grandgestureweddingfilms.com
THE BLACKCAT COMPANY (SCOTLAND) LIMITED;EH23 4SA;59112;"59112
62020";
CREATED BY CAMPFIRE LTD;EH6 6RS;59112;"59112
73110";www.theclub.agency
DIGITAL ONSET LTD;EH41 3JS;59111;59111;
SELKIE PRODUCTIONS LIMITED;EH3 6AT;59111;59111;
FILM CUT POST LIMITED;EH3 7BD;59111;"59111
59120";www.filmcut.co.uk
CRYSTAL MEDIA EVENTS LTD;EH3 5JF;59112;59112;www.crystal-media-events.co.uk
INTRYGA FILMS LTD;EH6 6RR;59111;59111;
SIGNLIVE LIMITED;EH3 9QA;59112;59112;www.signlive.co.uk
SCOTTISH DOCUMENTARY INSTITUTE;EH3 8HE;59111;59111;
PEACOCK STUDIOS LIMITED;EH11 2TJ;59112;59112;
ROOM 8 STUDIO LIMITED;EH39 4HY;59120;59120;
CARAVAN CINEMA LTD;EH6 6RR;59111;59111;
PARADISO FILMS PRODUCTIONS LIMITED;EH4 1NH;59113;"59111
59113";
LIVE GFX LTD;EH21 7AD;59112;"59112
73120";
NEONEIGHT LTD;EH6 4BW;59112;59112;
FILM & CAMPAIGN LTD.;EH30 9HX;58190;"58190
59111
59131
62020";
CINEMATION LIMITED;EH6 7JG;59112;59112;
