Company name;Postcode;Primary UK SIC (2007) code;All UK SIC (2007) codes;Website
Aly Gaff Joinery;EH4 2PX;43320;"16290
43320";www.alygaffjoinery.moonfruit.com
Advanced Upholstery Services;EH32 9ER;95240;95240;www.advancedupholstery.co.uk
Folly Antiques;EH6 5EQ;47791;47791;www.follyantiques.co.uk
www.clarkscarpetcare.co.uk;EH3 6RE;96010;"95240
96010";www.clarkscarpetcare.co.uk
Northgate Interiors;EH45 8BZ;47599;"47599
95240";
Morris of Portobello;EH7 5QZ;31090;31090;www.morrisofportobello.co.uk
Anna L Nichols Furniture;EH22 2PE;31090;31090;
Simon Scott Vintage & Collectables;EH12 5NQ;47791;"47791
47799";
Quadrant Antiques;EH3 6RS;47791;47791;
Bryony Knox;EH6 6ET;32120;32120;www.bryonyknox.com
Lovage & Lace;EH42 1ST;47799;"47791
47799";www.lovageandlace.com
Christopher Ness Jewellery;EH9 1PL;32120;32120;
Mark Turnbull Jewellery;EH9 1QG;32120;32120;
Fiona Thompson Ceramics;EH7 4JE;23490;23490;www.fionathompsonceramics.co.uk
V M Furnishings;EH7 4PY;95240;95240;www.vmfurnishing.com
Timbered Life;EH39 5BW;31090;"31090
81300";www.timbered-life.com
Signature Upholstery;EH21 6AS;95240;"95240
96090";www.signatureupholstery.co.uk
Jewellery by Design;EH49 7EJ;32120;"32120
47770";www.jbdlinlithgow.com
Why Aye Wood;EH32 0HY;32990;"31090
32990";
ROBERT P. SLIGHT & SONS LIMITED;EH21 8QJ;16230;"16230
31090
43320
68209";
T K EBBUTT LIMITED;EH2 4DF;32120;"24410
32120";
MASTER PATTERNS LIMITED;EH47 0LE;16290;16290;www.masterpatterns.co.uk
GOODWIN ANTIQUES LIMITED;EH2 4QW;47791;47791;www.goodwinsantiques.com
CHARLES TAYLOR WOODWORK & DESIGN LIMITED;EH22 1JD;31090;31090;www.ctww.co.uk
THE DOOR CENTRE LIMITED;EH26 8HA;16290;"16290
43320
46900
47190";www.directdoors.com
