Company name;Postcode;Primary UK SIC (2007) code;All UK SIC (2007) codes;Website
OWL FIELD LIMITED;EH30 9AE;59200;59200;
GROOVESUPPLY LTD.;EH6 4QD;59200;"59200
62020";
DOUBLE LION LIMITED;EH6 7BD;47910;"47910
59200";
YO SOY GROUP LIMITED;EH1 1HB;56302;"56302
59200";
EYEANGLE RECORDS LIMITED;EH54 9JL;18201;"18201
47910
59200
90020";
ONE TRACK MIND RECORDS LTD;EH9 2DY;59200;59200;
GRAEME YOUNG PRODUCTION LIMITED;EH3 5EJ;59200;59200;
HOVERCAT LIMITED;EH16 5DA;59200;59200;
LIONOIL LTD;EH6 4AR;59200;59200;
BEARYGOOD RECORDS LTD;EH6 7BD;59200;59200;
NLB AUDIO LTD;EH39 5FP;59200;59200;
OCTOPI RESEARCH LABS (UK) LIMITED;EH3 5DQ;80100;"59200
80100
98000";
MIKE PAUL VOX LIMITED;EH7 5RP;59200;59200;
CREATRAX LTD;EH10 5AL;59200;"59200
90010";
FINIFLEX LTD;EH6 6BA;59200;59200;
THE SAD INTERNATIONAL LTD;EH32 0NF;59200;59200;
PLANET X PRODUCTIONS LTD;EH3 6TT;59200;59200;
KILBERRY BAGPIPES LTD;EH1 1TA;32200;32200;
SAMUEL ESCHER RECORDINGS LTD;EH3 6RE;59200;"59200
90010";
HIGH FADE MUSIC SERVICES LTD;EH22 1JG;46499;"46499
59200
90010";
GEORGE GLEN LTD;EH12 5QS;62020;"59200
62020
90020";
TERRACE PODCAST PRODUCTIONS LTD;EH6 6RR;59200;59200;
DEAD GROOVY MUSIC (DGM) RECORDINGS LTD;EH26 8DR;47630;"47630
59200";
ADSR LTD;EH12 6DQ;59200;59200;
ROSSZ RECORDS LTD;EH3 6RT;59200;59200;
SPB MUSIC LTD;EH22 4AD;59200;"59200
90010";
ADVOCATE MUSIC LTD;EH16 6DW;59200;"59200
60100";
INDIPIRATE RECORDS LIMITED;EH2 1DG;18201;"18201
59200";
LIQUID FUNKTION LTD;EH1 2LD;59200;"59200
93290";
INFINITE SOUND LTD;EH6 5HX;47630;"47630
59200";
BABOON'S DREAM LTD;EH48 1NN;59200;59200;
LOW TOWN PRODUCCIONES LTD.;EH6 7BD;59132;"59132
59200
90030";
SOUND OF LUING LTD;EH9 1NU;59200;59200;
FOREVER INFLUENTIAL RECORDS ENTERTAINMENT LTD;EH14 1SZ;18201;"18201
18202
59200";
WREST LTD;EH3 6RE;59200;"59200
90030";
CIRCUIT AUDIO LIMITED;EH6 5JB;59200;59200;
ERSKINE AUDIO LTD;EH54 8RW;59200;59200;
LAMENTALLY SOUND CIC;EH2 3JG;18201;"18201
85520
90010
93290";
RAN RECORDS LIMITED;EH3 9BA;59200;59200;
MOONSTONE THEATRICAL PRODUCTIONS LTD;EH47 0QZ;59200;59200;
MILLIE AND MAX MUSIC LTD;EH54 9DD;59200;59200;
OFFBEAT AUDIO LTD;EH1 1SW;59200;"59200
60100
90010
90030";
HANGMAN SATELLITE LTD;EH4 1JP;59200;59200;
BESPOKEN MEDIA LIMITED;EH12 6LP;59200;59200;
VALLEY RECORDING LTD;EH3 6TE;59200;59200;
NEUROMORPHICS LTD;EH17 8AJ;59200;"59200
71122
71129
72200";
IJIKOO LTD;EH10 5DT;58190;"58190
59200
62012
70229";
ANOINTED MUSIC MEDIA PLATFORM LTD;EH4 4BY;59112;"59112
59200
86900
94910";
JOHN BOYLE MUSIC LIMITED;EH47 0QZ;59200;59200;
CLOTH EARS AUDIO LTD;EH7 5NS;59113;"59113
59200";
TRADITIONAL JAZZ SERVICES LTD;EH7 5AR;59200;"59200
90030";
MONKEY BARREL RECORDS LTD;EH1 1LG;18201;"18201
18202
46431
59200";
TENDERLAND SOUND INC LIMITED;EH3 6NL;59200;59200;
MODEAUDIO LTD;EH9 1SE;59200;59200;
HELLENIC RADIO UK LIMITED;EH7 6LN;59200;"59200
60100
60200
73110";
HARP THERAPY SCOTLAND LTD;EH6 7BD;59200;"59200
85600
86900
96040";
CAPO MUSIC LIMITED;EH4 1PQ;59200;59200;
BEECHBOOK PUBLISHING LIMITED;EH6 6PJ;58110;"58110
58190
59200";
ROD JONES STUDIOS LIMITED;EH6 6AW;59200;59200;
GONGO BEATS LIMITED;EH9 1RJ;59112;"59112
59200";
PHONOVISION RECORDS LIMITED;EH11 4SJ;18201;"18201
47630
59200";
QUANTUM PHLOPP LTD;EH46 7AA;59200;59200;
DRAFI PRODUCTIONS LIMITED;EH12 5TL;18202;"18202
59120
59200";
WE ARE NOTHING RECORDS LTD;EH6 7AG;59200;59200;
OGADUDU MUZIK LTD;EH6 5BB;59200;"59200
90010
90030";
