Company name;Postcode;Secondary UK SIC (2007) codes;Primary UK SIC (2007) code
BRIDGECOM (BORDERS) LTD;TD5 7AL;62090;62020
TWEED DALE LTD;EH45 8LR;62020;62020
THE BIG SCOTSMAN LTD;TD1 3NH;62020;62020
PH6+ UK LIMITED;TD2 6QJ;62012;62012
COLLIS-HOLMES INNOVATIONS LIMITED;TD4 6AT;62020;62020
DIGITOOLE LIMITED;TD7 4JW;62020;62020
MCGOUGHLAN INTERNATIONAL LIMITED;TD5 7HW;62020;62020
CHARTERS' BUSINESS CONSULTANCY LTD;EH44 6PF;70221, 70229, 98000;62020
DEVIANT SOLUTIONS LTD;TD1 3AF;62020;62020
TROLLTEK LTD;TD7 5DL;62090, 63110, 74100;62020
BORDERLINK TECHNICAL SERVICES LTD;TD11 3LX;62020, 62090;61200
CONSULT CG LIMITED;TD7 5NQ;70229;62020
KERBEROS COMPUTING LIMITED;TD6 9AL;62090;62020
BIOFRACTAL LTD;TD5 7AL;62020;62012
LEWIS NELSON LTD;TD1 3SL;62020;62020
ICEFLO LIMITED;TD6 0SG;62020;62020
AGENOR TECHNOLOGY HOLDINGS LIMITED;TD6 0SG;62020;62020
ELLIPSIS DATA LTD;TD4 6AD;62020;62020
CARYDA LIMITED;TD7 5BZ;62020;62020
JB RUE LTD;TD1 3JB;62020;62020
LOFTUS PROJECT SERVICES LTD;EH45 9DW;62020;62020
LEITHOLM LIMITED;TD14 5JN;62020;62020
ENFORCESOFT LTD;TD6 0PP;58290;58290
SOUTH HOLEHOUSE LIMITED;TD14 5JS;62020;62020
EDINSHALL LTD.;TD11 3PB;70229;62020
BORDERS WEBSITES LTD;TD1 1JY;62012;62012
JAYFBEE LTD;TD1 1EX;62020;62020
AMBER SYSTEMS (EDROM) LTD;TD11 3PX;62020;62020
