Company name;Postcode;Secondary UK SIC (2007) codes;Primary UK SIC (2007) code
LALLY WALFORD INTERIORS LTD;KY11 9PF;74100;74100
SUSTAINABLE CIVIL ENGINEERING SOLUTIONS LIMITED;KY11 8SN;74100;74100
IDA RAMIC LTD;KY12 9FE;74100,9003;18129
WEB SOLUTIONS SCOT LTD;KY11 2ZS;74100;74100
MYCUDDLEBEARS LTD;KY5 0ED;13950;13950
ROBERT BAILEY BESPOKE LTD;KY5 9HR;14190;14190
SAPPHIRE SIGNS AND DESIGN LIMITED;KY7 4NZ;74100;18129
SAPPHIRE SIGNS, DESIGN & PRINT LTD;KY7 4NX;74100;18129
CLUISTROM3D LIMITED;KY12 7AT;14120;14120
PIROWARE LTD;KY11 2PQ;74100;74100
